    n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, heap_cmp, heap_swaps, heap_time
    0,             0,               0,              2,         0,           0,          3,        0,          0,         5
    1,             0,               0,              1,         0,           0,          0,        0,          0,         2
    2,             1,               1,              6,         1,           2,         18,        1,          1,         4
    3,             3,               3,              4,         5,           3,          8,        3,          3,         6
    4,             4,               3,              4,         7,           6,         13,        7,          7,        10
    5,             5,               3,              4,        12,           7,         14,       12,         11,        14
    6,             7,               4,              5,        15,           7,         15,       15,         14,        17
    7,            10,               6,              7,        16,           9,         17,       19,         16,        19
    8,            11,               6,              7,        22,          11,         23,       25,         20,        24
    9,            12,               6,              8,        26,          11,         23,       33,         24,        30
   10,            13,               6,              8,        34,          16,         37,       39,         30,        35
   11,            15,               7,              9,        35,          15,         30,       47,         33,        39
   12,            16,               7,             10,        41,          17,         34,       54,         39,        45
   13,            18,               8,             11,        39,          17,        199,       62,         44,        52
   14,            19,               8,             11,        54,          19,         39,       68,         48,        55
   15,            20,               8,             11,        65,          21,         46,       76,         52,        60
   16,            22,               9,             12,        61,          24,         47,       84,         57,        66
   17,            25,              11,             14,        64,          26,         50,       94,         63,        73
   18,            26,              11,             15,        78,          26,         53,      101,         67,        77
   19,            27,              11,             15,        76,          31,         62,      111,         73,       105
   20,            29,              12,             17,        88,          26,         58,      120,         80,        96
   21,            30,              12,             18,       114,          32,         75,      130,         84,       103
   22,            31,              12,             17,        95,          32,        128,      138,         88,       102
   23,            33,              13,             18,       106,          33,        146,      148,         95,       266
   24,            34,              13,             35,       106,          36,         70,      157,        101,       112
   25,            35,              13,             18,       115,          39,         75,      168,        107,       119
   26,            36,              13,             18,       123,          38,         77,      176,        111,       124
   27,            37,              13,             19,       113,          40,         76,      186,        117,       141
   28,            41,              16,             21,       158,          45,         94,      194,        124,       140
   29,            43,              17,             22,       176,          38,         92,      203,        128,       142
   30,            44,              17,             23,       154,          43,         92,      213,        132,       148
   31,            45,              17,             23,       163,          43,         93,      223,        138,       154
   32,            46,              17,             23,       151,          49,         97,      234,        148,       164
   33,            49,              19,             25,       159,          46,         96,      248,        154,       171
   34,            51,              20,             26,       178,          51,        104,      257,        159,       177
   35,            55,              23,             29,       199,          53,        115,      269,        165,       207
   36,            56,              23,             29,       236,          51,        123,      279,        175,       205
   37,            57,              23,             28,       188,          55,        110,      291,        181,       196
   38,            59,              24,             30,       190,          59,        115,      302,        190,       204
