  n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, selection_cmp, selection_swaps, selection_time, heap_cmp, heap_swaps, heap_time
  0,             0,               0,              2,         0,           0,          3,             0,               0,              1,        0,          0,         7
  1,             0,               0,              1,         0,           0,          1,             0,               0,              0,        0,          0,         3
  2,             1,               0,              5,         1,           2,         19,             0,               0,              1,        1,          2,         7
  3,             2,               0,              2,         5,           4,         16,             1,               0,              3,        3,          4,         9
  4,             4,               1,              4,         5,           4,         11,             3,               0,              3,        6,          7,        12
  5,             5,               1,              4,        11,           8,         22,             6,               1,              6,       11,          9,        15
  6,             9,               4,              7,        18,          10,         25,            10,               1,              8,       15,         12,        19
  7,            12,               6,              9,        18,           9,         23,            15,               2,             11,       20,         13,        23
  8,            13,               6,             10,        23,          13,         31,            21,               2,             14,       26,         19,        29
  9,            14,               6,             14,        25,          14,         32,            28,               2,             17,       34,         23,        37
 10,            16,               7,             12,        34,          15,         56,            36,               2,             19,       40,         28,        37
 11,            18,               8,             12,        42,          16,         36,            45,               3,             22,       47,         31,        40
 12,            19,               8,             12,        45,          18,         38,            55,               4,             31,       54,         37,        50
 13,            20,               8,             12,        48,          17,         38,            66,               4,             30,       62,         41,        56
 14,            21,               8,             13,        60,          18,         58,            78,               4,             38,       67,         45,        68
 15,            22,               8,             13,        77,          25,        275,            91,               4,             49,       75,         50,        65
 16,            23,               8,             13,        65,          24,         54,           105,               4,             54,       84,         56,        70
 17,            24,               8,             14,        61,          24,         53,           120,               4,             51,       94,         62,        76
 18,            25,               8,             14,        68,          25,         54,           136,               4,             58,      102,         68,        85
 19,            27,               9,             15,        81,          32,         71,           153,               4,             95,      112,         71,       104
 20,            28,               9,             19,        97,          31,         93,           171,               5,             89,      121,         81,       122
 21,            29,               9,             26,        94,          32,        122,           190,               5,            101,      131,         85,       130
 22,            30,               9,             29,       109,          35,        133,           210,               5,             91,      138,         89,       110
 23,            31,               9,             17,       110,          37,         79,           231,               5,             91,      148,         93,       114
 24,            32,               9,             17,       106,          35,         77,           253,               5,             98,      157,         99,       119
 25,            33,               9,             18,       120,          35,         93,           276,               5,            107,      166,        105,       126
 26,            34,               9,             18,       156,          38,         94,           300,               5,            116,      176,        109,       134
 27,            35,               9,             18,       111,          37,         81,           325,               5,            127,      184,        115,       154
 28,            37,              10,             20,       133,          41,        103,           351,               5,            136,      193,        122,       224
 29,            39,              11,             34,       147,          44,        163,           378,               6,            197,      203,        127,       179
 30,            40,              11,             22,       141,          41,        111,           406,               7,            162,      211,        133,       202
 31,            41,              11,             25,       130,          41,        118,           435,               7,            168,      221,        137,       197
 32,            42,              11,             34,       158,          45,        131,           465,               7,            220,      229,        144,       177
