 n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, selection_cmp, selection_swaps, selection_time, heap_cmp, heap_swaps, heap_time
 0,             0,               0,              1,         0,           0,          2,             0,               0,              1,        0,          0,         4
 1,             0,               0,              1,         0,           0,          1,             0,               0,              0,        0,          0,         2
 2,             1,               0,              3,         2,           2,         12,             0,               0,              1,        1,          2,         6
 3,             2,               0,              2,         3,           2,          7,             1,               0,              2,        3,          4,         7
 4,             3,               0,              2,         7,           4,         11,             3,               0,              3,        7,          8,        11
 5,             4,               0,              2,         9,           6,         14,             6,               0,              4,       12,         10,        14
 6,             6,               1,              4,        11,           8,         17,            10,               0,              6,       16,         12,        16
 7,            10,               4,              6,        23,          11,         22,            15,               1,              9,       20,         15,        20
 8,            11,               4,              7,        23,           9,         19,            21,               3,             11,       26,         21,        26
 9,            12,               4,              7,        25,          13,         26,            28,               3,             14,       34,         25,        31
10,            13,               4,            185,        33,          13,        205,            36,               3,             18,       40,         30,        36
