     n, quick_cmp, quick_swaps, quick_time, heap_cmp, heap_swaps, heap_time
     0,         0,           0,          5,        0,          0,         5
     1,         0,           0,          0,        0,          0,         2
     2,         2,           2,         22,        1,          2,         6
     3,         5,           4,          9,        3,          4,         6
     4,         7,           5,          8,        7,          5,         7
     5,        10,           7,         11,       12,          9,        11
     6,        16,          10,         15,       17,         14,        15
     7,        20,           9,         15,       21,         15,        16
     8,        24,          12,         18,       27,         20,        51
     9,        29,          13,         21,       34,         25,        25
    10,        34,          16,         25,       40,         26,        28
    11,        38,          17,         27,       47,         30,        32
    12,        45,          19,         28,       53,         36,        37
    13,        57,          23,        733,       63,         41,        44
    14,        64,          26,         43,       70,         45,        47
    15,        70,          28,         43,       76,         50,        50
    16,        77,          29,         46,       84,         55,        66
    17,        78,          31,         56,       92,         59,        60
    18,        97,          31,         51,      102,         65,        66
    19,       105,          30,         55,      108,         68,        69
    20,        95,          37,         58,      116,         74,        74
    21,        94,          39,         59,      126,         75,        78
    22,       109,          43,         67,      134,         83,        85
    23,       128,          45,         74,      144,         90,        92
    24,       134,          43,         71,      152,         94,        96
    25,       134,          47,         77,      165,        103,       118
    26,       134,          50,         77,      174,        108,       109
    27,       154,          53,         85,      185,        116,       114
    28,       157,          58,        104,      190,        119,       116
    29,       176,          58,         99,      197,        122,       119
    30,       171,          60,         94,      209,        131,       142
    31,       179,          60,         94,      218,        137,       225
    32,       185,          60,        147,      224,        136,       154
    33,       201,          62,        177,      240,        146,       144
    34,       226,          69,        112,      248,        149,       151
    35,       267,          68,        176,      259,        155,       169
    36,       238,          74,        121,      267,        158,       157
    37,       229,          70,        116,      266,        160,       157
    38,       257,          75,        124,      278,        166,       165
    39,       275,          81,        138,      287,        172,       171
    40,       276,          77,        151,      294,        180,       176
    41,       282,          83,        139,      311,        186,       184
    42,       293,          84,        169,      319,        190,       219
    43,       280,          90,        143,      333,        203,       213
    44,       287,          98,        184,      343,        207,       245
    45,       330,          95,        174,      358,        215,       222
    46,       336,          93,        166,      368,        214,       217
    47,       311,          92,        151,      383,        225,       224
    48,       299,          97,        165,      398,        236,       267
    49,       384,          95,        274,      411,        238,       245
    50,       341,         103,        169,      420,        248,       253
    51,       340,         103,        192,      436,        256,       271
    52,       355,         102,        174,      443,        257,       273
    53,       380,         111,        197,      453,        262,       277
    54,       389,         110,        210,      463,        270,       277
    55,       559,         107,        240,      483,        283,       285
    56,       443,         123,        215,      493,        284,       375
    57,       410,         117,        198,      507,        293,       304
    58,       443,         122,        214,      517,        299,       307
    59,       470,         121,        215,      522,        304,       309
    60,       483,         129,        246,      536,        311,       306
    61,       529,         122,        225,      547,        318,       313
    62,       460,         131,        214,      560,        325,       326
    63,       503,         134,        232,      574,        332,       357
    64,       523,         138,        244,      587,        340,       350
    65,       477,         132,        225,      599,        347,       351
    66,       524,         140,        245,      606,        349,       366
    67,       484,         140,        227,      614,        356,       350
    68,       530,         153,        244,      629,        362,       359
    69,       526,         147,        242,      638,        370,       370
    70,       585,         146,        257,      651,        377,       372
    71,       538,         151,        249,      657,        377,       375
    72,       678,         154,        288,      668,        379,       378
    73,       629,         151,        277,      690,        397,       396
    74,       588,         161,        279,      701,        398,       403
    75,       584,         165,        303,      714,        407,       489
    76,       573,         166,        271,      726,        414,       466
    77,       612,         168,        282,      735,        422,       417
    78,       632,         171,        380,      743,        425,       482
    79,       629,         174,        288,      760,        435,       458
    80,       640,         180,        405,      774,        443,       573
    81,       600,         173,        406,      787,        452,       456
    82,       740,         177,        329,      805,        458,       464
    83,       769,         180,        337,      820,        472,       473
    84,       730,         186,        362,      827,        476,       526
    85,       701,         188,        329,      844,        487,       487
    86,       717,         193,        323,      848,        481,       481
    87,       719,         191,        325,      856,        492,       488
    88,       817,         199,        351,      870,        504,       520
    89,       729,         203,        330,      879,        499,       499
    90,       758,         200,        338,      884,        505,       504
    91,       772,         197,        336,      909,        524,       519
    92,       768,         213,        345,      924,        530,       532
    93,       825,         213,        360,      943,        537,       564
    94,       853,         214,        358,      949,        539,       524
    95,       803,         219,        359,      960,        548,       532
    96,       853,         224,        372,      974,        558,       642
    97,       831,         222,        356,      990,        562,       546
    98,       938,         229,        396,     1008,        582,       562
    99,       959,         217,        431,     1024,        584,       568
   100,       860,         231,        370,     1039,        589,       619
   101,       847,         232,        372,     1056,        594,       580
   102,       855,         241,        377,     1063,        607,       596
   103,       885,         245,        375,     1091,        623,       585
   104,      1107,         235,        428,     1101,        629,       674
   105,       920,         238,        383,     1113,        629,       599
   106,       923,         248,        387,     1121,        643,       661
   107,       947,         244,        466,     1138,        644,       628
   108,      1000,         238,        509,     1143,        653,       616
   109,       949,         256,        399,     1160,        654,       628
   110,       971,         255,        434,     1168,        665,       640
   111,      1022,         267,        426,     1183,        676,       707
   112,      1032,         265,        462,     1196,        681,       644
   113,      1005,         256,        413,     1210,        692,       651
   114,      1111,         271,        453,     1218,        692,       699
   115,      1049,         268,        426,     1239,        705,       701
   116,      1015,         267,        423,     1251,        711,       821
   117,       990,         281,        419,     1268,        717,       676
   118,      1165,         280,        480,     1274,        720,       719
   119,      1029,         284,        439,     1287,        729,       725
   120,      1038,         283,        438,     1301,        736,       696
   121,      1045,         297,        508,     1319,        749,       709
   122,      1199,         276,        475,     1324,        744,       710
   123,      1206,         301,        529,     1340,        754,       718
   124,      1189,         289,        536,     1352,        758,       792
   125,      1150,         294,        464,     1367,        772,       730
   126,      1436,         304,        587,     1367,        770,       730
   127,      1142,         303,        549,     1386,        778,       740
   128,      1165,         300,        472,     1412,        794,       753
   129,      1217,         311,        523,     1418,        797,       816
   130,      1206,         314,        558,     1429,        800,       835
   131,      1178,         332,        503,     1450,        814,       807
   132,      1262,         314,        510,     1464,        816,       824
   133,      1197,         313,        532,     1477,        825,       823
   134,      1235,         328,        547,     1486,        835,       866
   135,      1253,         326,        556,     1503,        842,       844
   136,      1292,         326,        529,     1516,        840,       842
   137,      1334,         329,        573,     1536,        862,       899
   138,      1288,         344,        583,     1540,        856,       854
   139,      1497,         330,        585,     1553,        865,       824
   140,      1364,         343,        611,     1586,        888,       934
   141,      1363,         349,        558,     1596,        896,       924
   142,      1306,         353,        544,     1603,        893,       852
   143,      1360,         358,        651,     1613,        898,       961
   144,      1536,         340,        633,     1637,        914,       978
   145,      1596,         343,        615,     1655,        928,       941
   146,      1438,         347,        612,     1664,        930,       886
   147,      1449,         355,        621,     1667,        935,       888
   148,      1412,         350,        614,     1692,        942,       899
   149,      1455,         355,        617,     1703,        959,       945
   150,      1539,         360,        674,     1720,        959,       960
   151,      1423,         372,        618,     1733,        971,       959
   152,      1396,         371,        645,     1751,        977,       994
   153,      1487,         378,        675,     1770,        983,       941
   154,      1518,         379,        615,     1790,        998,       988
   155,      1476,         380,        667,     1785,        993,      1053
   156,      1607,         396,        643,     1792,        997,       989
   157,      1484,         403,        618,     1822,       1017,      1031
   158,      1782,         380,        711,     1844,       1031,      1023
   159,      1631,         392,        645,     1854,       1037,      1050
   160,      1706,         393,        667,     1854,       1038,      1023
   161,      1663,         400,        703,     1868,       1035,      1142
   162,      1727,         404,        732,     1890,       1056,      1007
   163,      1543,         420,        641,     1904,       1060,      1113
   164,      1876,         385,        738,     1915,       1067,      1056
   165,      1586,         414,        650,     1925,       1069,      1025
   166,      1587,         411,        712,     1936,       1071,      1164
   167,      1629,         418,        660,     1964,       1088,      1078
   168,      1836,         400,        748,     1975,       1102,      1088
   169,      1720,         430,        695,     1984,       1108,      1164
   170,      1733,         427,        737,     2004,       1115,      1067
   171,      1634,         418,        684,     2022,       1127,      1145
   172,      1855,         430,        915,     2027,       1131,      1114
   173,      1629,         432,        672,     2043,       1134,      1085
   174,      1779,         427,        746,     2058,       1143,      1128
   175,      1855,         433,        727,     2078,       1154,      1104
   176,      1808,         448,        771,     2090,       1165,      1149
   177,      2042,         429,        874,     2110,       1176,      1306
   178,      1781,         447,        783,     2125,       1185,      1176
   179,      1819,         453,        768,     2128,       1185,      1205
   180,      1831,         441,        787,     2148,       1200,      1151
   181,      1897,         440,        820,     2174,       1215,      1298
   182,      1902,         461,        754,     2190,       1225,      1203
   183,      1895,         450,        746,     2192,       1223,      1251
   184,      1885,         464,        804,     2214,       1229,      1214
   185,      2225,         457,        845,     2223,       1234,      1260
   186,      1915,         452,       1044,     2252,       1252,      1262
   187,      1997,         464,        875,     2254,       1252,      1198
   188,      2096,         469,        874,     2273,       1262,      1242
   189,      2097,         466,        874,     2290,       1279,      1219
   190,      2012,         463,        815,     2298,       1280,      1307
   191,      1902,         480,        835,     2309,       1287,      1263
   192,      2226,         484,        849,     2326,       1294,      1417
   193,      2020,         488,        894,     2346,       1308,      1284
