    n, quick_cmp, quick_swaps, quick_time, heap_cmp, heap_swaps, heap_time
    0,         0,           0,          6,        0,          0,         8
    1,         0,           0,          1,        0,          0,         3
    2,         2,           2,         21,        1,          2,         7
    3,         4,           4,         12,        3,          4,         7
    4,         8,           6,         14,        6,          5,         9
    5,        11,           7,         15,       10,          8,        12
    6,        16,           7,         22,       16,         13,        25
    7,        24,          11,         25,       21,         15,        21
    8,        25,          12,         23,       25,         17,        23
    9,        33,          15,         30,       31,         21,        28
   10,        39,          16,         32,       39,         27,        35
   11,        38,          17,         35,       47,         33,       114
   12,        53,          19,         42,       53,         34,        46
   13,        60,          21,         48,       59,         39,        51
   14,        53,          20,         43,       63,         42,        55
   15,        76,          27,         58,       68,         45,        63
   16,        61,          24,         73,       80,         53,        68
   17,        75,          34,         65,       90,         59,        75
   18,        88,          34,         75,       97,         63,        88
   19,        88,          32,         73,      103,         66,       100
   20,       115,          40,        132,      111,         73,        96
   21,        99,          38,         81,      119,         75,        99
   22,       100,          39,         81,      129,         85,       108
   23,       123,          47,         96,      139,         87,       173
   24,       133,          44,         99,      148,         94,       123
   25,       127,          44,         93,      157,        100,       129
   26,       155,          50,        110,      168,        105,       135
   27,       132,          47,        111,      176,        111,       137
   28,       150,          54,        114,      185,        118,       172
   29,       177,          54,        115,      191,        120,       163
   30,       201,          60,        138,      198,        125,       173
   31,       164,          57,        133,      207,        129,       165
   32,       191,          64,        130,      218,        135,       206
   33,       213,          61,        148,      229,        134,       280
   34,       209,          66,        162,      243,        147,       308
   35,       220,          68,        264,      253,        150,       346
   36,       257,          67,        270,      258,        156,       261
   37,       242,          69,        148,      272,        165,       239
   38,       216,          75,        146,      282,        168,       214
   39,       288,          74,        171,      291,        174,       235
   40,       289,          85,        178,      302,        177,       234
   41,       268,          82,        244,      314,        183,       244
   42,       311,          88,        199,      320,        188,       315
   43,       297,          88,        187,      334,        194,       244
   44,       297,          85,        195,      348,        201,       258
   45,       304,         100,        205,      360,        207,       314
   46,       289,          96,        223,      372,        213,       285
   47,       333,         104,        257,      379,        217,       286
   48,       341,         105,        221,      386,        223,       285
   49,       362,         104,        249,      397,        226,       324
   50,       374,         101,        260,      410,        232,       289
   51,       362,         113,        215,      418,        235,       286
   52,       380,         114,        218,      431,        243,       301
   53,       402,         119,        250,      440,        247,       300
   54,       424,         116,        234,      450,        258,       310
   55,       405,         117,        228,      460,        265,       317
   56,       436,         123,        268,      473,        264,       311
   57,       407,         126,        228,      484,        274,       320
   58,       436,         132,        238,      494,        279,       327
   59,       456,         127,        244,      509,        289,       351
   60,       430,         128,        235,      525,        295,       360
   61,       469,         135,        240,      535,        296,       340
   62,       516,         139,        283,      544,        307,       350
   63,       478,         141,        254,      558,        312,       358
   64,       499,         141,        260,      574,        326,       441
   65,       539,         140,        275,      578,        327,       403
   66,       546,         145,        285,      591,        333,       446
   67,       606,         141,        298,      602,        341,       423
   68,       528,         150,        281,      616,        341,       398
   69,       532,         154,        286,      628,        352,       626
   70,       545,         158,        503,      646,        368,       749
   71,       585,         159,        658,      651,        367,       765
   72,       601,         158,        550,      666,        371,       672
   73,       573,         171,        327,      682,        387,       435
   74,       598,         171,        300,      692,        391,       432
   75,       576,         178,        325,      696,        393,       423
   76,       604,         171,        298,      709,        397,       427
   77,       621,         179,        305,      718,        400,       435
   78,       613,         185,        297,      735,        411,       429
   79,       705,         177,        314,      750,        429,       443
   80,       662,         178,        309,      761,        428,       447
   81,       704,         185,        339,      773,        433,       441
   82,       631,         181,        291,      783,        442,       479
   83,       689,         186,        312,      796,        452,       456
   84,       776,         187,        334,      808,        457,       467
   85,       639,         196,        303,      823,        464,       469
   86,       761,         198,        332,      832,        472,       476
   87,       749,         197,        332,      852,        473,       481
   88,       733,         200,        377,      869,        486,       494
   89,       805,         204,        356,      879,        491,       501
   90,       807,         206,        354,      890,        501,       507
   91,       744,         206,        336,      901,        503,       515
   92,       804,         209,        348,      919,        522,       512
   93,       866,         228,        375,      922,        518,       557
   94,       966,         205,        421,      933,        520,       516
   95,       789,         227,        352,      945,        528,       522
   96,       933,         211,        381,      971,        547,       539
   97,       818,         231,        363,      985,        552,       589
   98,       860,         230,        370,      990,        554,       547
   99,       789,         237,        357,      999,        556,       588
  100,       816,         230,        356,     1017,        572,       565
  101,       878,         229,        375,     1032,        577,       613
  102,       848,         243,        382,     1053,        593,       585
  103,       938,         233,        396,     1059,        596,       589
  104,       991,         245,        449,     1071,        602,       592
  105,      1036,         242,        425,     1086,        611,       618
  106,       972,         248,        426,     1097,        623,       629
  107,       988,         249,        408,     1101,        617,       594
  108,      1022,         254,        452,     1127,        629,       633
  109,       996,         258,        480,     1124,        633,       677
  110,      1044,         257,        471,     1128,        635,       611
  111,       952,         257,        399,     1149,        645,       655
  112,      1036,         258,        470,     1157,        652,       696
  113,       990,         273,        422,     1186,        666,       642
  114,      1129,         258,        447,     1197,        676,       700
  115,      1013,         268,        428,     1212,        687,       732
  116,      1099,         279,        484,     1225,        691,       696
  117,      1055,         275,        539,     1241,        703,       672
  118,      1195,         276,        477,     1248,        702,       717
  119,      1217,         274,        481,     1255,        707,       678
  120,      1107,         294,        460,     1264,        714,       770
  121,      1053,         292,        479,     1283,        719,       736
  122,      1214,         288,        491,     1299,        731,       773
  123,      1160,         291,        476,     1306,        738,       708
  124,      1105,         299,        465,     1324,        748,       795
  125,      1409,         295,        603,     1339,        754,       724
  126,      1103,         306,        475,     1351,        758,       730
  127,      1165,         310,        487,     1370,        764,       819
  128,      1251,         296,        532,     1377,        770,       806
  129,      1170,         314,        489,     1402,        792,       761
  130,      1197,         318,        572,     1416,        789,       806
  131,      1267,         321,        528,     1429,        803,       810
  132,      1265,         311,        637,     1436,        805,      1002
  133,      1337,         318,        584,     1449,        809,       815
  134,      1241,         315,        545,     1462,        810,       783
  135,      1232,         321,        599,     1483,        822,       841
  136,      1289,         341,        538,     1491,        825,       877
  137,      1284,         327,        524,     1500,        833,       841
  138,      1377,         332,        552,     1522,        850,       918
  139,      1382,         344,        561,     1542,        855,       830
  140,      1358,         344,        556,     1562,        868,       840
  141,      1393,         337,        604,     1573,        872,       948
  142,      1362,         354,        565,     1587,        883,       889
  143,      1410,         350,        570,     1607,        892,       972
  144,      1351,         354,        601,     1619,        904,       873
  145,      1417,         353,        614,     1636,        907,       879
  146,      1332,         352,        601,     1657,        923,       892
  147,      1490,         361,        630,     1652,        918,       922
  148,      1481,         365,        684,     1686,        936,      1051
  149,      1476,         367,        605,     1679,        930,       998
  150,      1597,         375,        632,     1699,        945,       956
  151,      1556,         371,        688,     1716,        945,       918
  152,      1466,         365,        597,     1728,        958,       959
  153,      1568,         367,        676,     1749,        973,       938
  154,      1558,         390,        686,     1755,        973,       940
  155,      1529,         389,        626,     1782,        989,      1063
  156,      1544,         386,        671,     1791,        991,       994
  157,      1476,         386,        683,     1809,       1000,      1044
  158,      1607,         393,        649,     1826,       1007,       978
  159,      1498,         395,        620,     1833,       1016,      1086
  160,      1496,         408,        691,     1845,       1023,       992
  161,      1614,         396,        717,     1860,       1030,      1126
  162,      1612,         393,        736,     1877,       1035,      1077
  163,      1652,         400,        661,     1881,       1042,      1010
  164,      1783,         409,        753,     1901,       1059,      1021
  165,      1711,         394,        774,     1909,       1050,      1057
  166,      1724,         405,        684,     1918,       1056,      1042
  167,      1567,         425,        657,     1944,       1071,      1041
  168,      1713,         411,        724,     1963,       1083,      1096
  169,      1780,         427,        717,     1969,       1093,      1059
  170,      1750,         421,        767,     1989,       1097,      1192
  171,      1668,         438,        685,     2003,       1101,      1185
  172,      2331,         411,        867,     2023,       1111,      1147
  173,      1806,         424,        758,     2047,       1131,      1097
  174,      1818,         422,        753,     2062,       1139,      1146
  175,      1650,         450,        726,     2074,       1136,      1216
  176,      1802,         442,        727,     2091,       1153,      1183
  177,      1720,         453,        749,     2090,       1149,      1118
  178,      1902,         456,        789,     2101,       1145,      1163
  179,      1823,         441,        728,     2114,       1166,      1169
  180,      1796,         453,        807,     2133,       1180,      1215
  181,      1830,         457,        746,     2149,       1189,      1205
  182,      2010,         446,        829,     2166,       1197,      1237
  183,      2073,         448,        800,     2172,       1200,      1166
  184,      2026,         459,        837,     2189,       1205,      1207
  185,      1991,         457,        887,     2207,       1220,      1223
  186,      2033,         469,        868,     2230,       1229,      1249
  187,      2052,         449,        794,     2232,       1239,      1294
  188,      1969,         469,        785,     2260,       1238,      1209
  189,      2172,         475,        841,     2247,       1221,      1277
  190,      2009,         478,        803,     2277,       1247,      1287
  191,      2064,         480,        874,     2302,       1266,      1286
  192,      2024,         485,        806,     2323,       1280,      1279
  193,      2024,         490,        903,     2328,       1280,      1281
  194,      2091,         496,        900,     2339,       1289,      1328
  195,      2097,         501,        911,     2356,       1302,      1264
  196,      2069,         497,        903,     2359,       1293,      1306
  197,      2124,         501,        874,     2381,       1317,      1279
  198,      2215,         500,        936,     2396,       1319,      1332
  199,      2138,         515,        882,     2411,       1330,      1332
  200,      2058,         513,        862,     2424,       1333,      1371
  201,      2036,         510,        821,     2449,       1353,      1360
  202,      2311,         496,        881,     2456,       1350,      1406
  203,      2058,         516,        856,     2470,       1362,      1395
  204,      2291,         512,        887,     2490,       1372,      1404
  205,      2068,         515,        844,     2513,       1393,      1351
  206,      2020,         528,        863,     2527,       1387,      1477
  207,      2084,         528,        873,     2551,       1404,      1437
  208,      2552,         534,       1041,     2553,       1406,      1438
  209,      2419,         533,        937,     2571,       1412,      1418
  210,      2194,         549,        885,     2594,       1428,      1497
  211,      2237,         545,        895,     2609,       1433,      1511
  212,      2272,         536,        941,     2628,       1447,      1506
  213,      2165,         568,        885,     2634,       1449,      1412
  214,      2496,         537,        943,     2660,       1466,      1584
  215,      2381,         544,        969,     2682,       1480,      1510
  216,      2412,         557,        991,     2690,       1487,      1550
  217,      2243,         565,        904,     2699,       1483,      1584
  218,      2592,         550,       1019,     2705,       1486,      1590
  219,      2256,         558,        973,     2719,       1497,      1529
  220,      2346,         563,        930,     2743,       1505,      1577
  221,      2482,         571,        968,     2758,       1517,      1636
  222,      2348,         563,       1104,     2779,       1534,      1495
  223,      2302,         584,        989,     2787,       1532,      1607
  224,      2478,         576,       1040,     2801,       1542,      1562
