   n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, selection_cmp, selection_swaps, selection_time, heap_cmp, heap_swaps, heap_time
   0,             0,               0,              1,         0,           0,         29,             0,               0,              2,        0,          0,         8
   1,             0,               0,              2,         0,           0,          2,             0,               0,              1,        0,          0,         4
   2,             1,               0,              6,         2,           2,         15,             0,               0,              1,        1,          2,         8
   3,             3,               1,             23,         5,           4,         17,             1,               0,              3,        3,          3,         9
   4,             4,               1,              4,         8,           6,         47,             3,               1,              6,        7,          7,        15
   5,             8,               4,              9,        10,           6,         20,             6,               1,             11,       12,         10,        35
   6,            11,               6,             18,        14,           9,         43,            10,               2,             11,       16,         12,        24
   7,            16,              10,             16,        17,          11,         33,            15,               2,             14,       19,         14,        47
   8,            20,              13,             29,        22,          10,         52,            21,               4,             25,       27,         19,        49
   9,            26,              18,             37,        29,          14,         73,            28,               5,             31,       35,         24,        59
  10,            28,              19,             39,        31,          12,         82,            36,               6,             37,       41,         29,       161
  11,            30,              20,             74,        46,          17,         60,            45,               7,             28,       48,         32,        49
  12,            33,              22,             26,        38,          17,         41,            55,               8,             55,       57,         38,        56
  13,            34,              22,             27,        49,          19,         47,            66,               8,             37,       65,         42,        62
  14,            42,              29,             34,        57,          20,         50,            78,               8,             43,       69,         45,        66
  15,            51,              37,             42,        61,          24,         57,            91,               9,             49,       73,         49,        72
  16,            62,              47,             50,        70,          26,         63,           105,              11,             55,       82,         53,        78
  17,            78,              62,             63,        71,          30,         66,           120,              13,             63,       87,         56,        81
  18,            91,              74,             76,        75,          30,         67,           136,              12,             69,       97,         62,        89
  19,            96,              78,             79,        93,          34,        134,           153,              16,             79,      105,         66,        95
  20,           110,              91,             92,        93,          41,         84,           171,              16,             87,      109,         69,       100
  21,           128,             108,            106,       106,          42,         91,           190,              17,             96,      119,         78,       110
  22,           131,             110,            110,       117,          44,         98,           210,              18,            106,      127,         84,       101
  23,           132,             110,             94,       111,          43,         84,           231,              18,             98,      137,         86,       107
  24,           154,             131,            112,       121,          44,         86,           253,              18,            107,      151,         95,       118
  25,           176,             152,            128,       128,          43,         87,           276,              19,            115,      162,        100,       124
  26,           189,             164,            138,       165,          50,        106,           300,              16,            122,      170,        102,       129
  27,           213,             187,            155,       160,          54,        106,           325,              20,            177,      177,        105,       134
  28,           235,             208,            172,       154,          48,        101,           351,              21,            144,      188,        114,       156
  29,           250,             222,            183,       167,          57,        111,           378,              24,            153,      199,        118,       149
  30,           266,             237,            197,       160,          60,        110,           406,              26,            183,      205,        121,       153
  31,           275,             245,            203,       195,          62,        110,           435,              27,            155,      214,        123,       297
  32,           286,             255,            334,       233,          54,        161,           465,              27,            171,      225,        131,       198
  33,           312,             280,            202,       213,          67,        121,           496,              29,            176,      232,        138,       188
  34,           342,             309,            224,       212,          67,        120,           528,              30,            225,      240,        141,       156
  35,           373,             339,            243,       213,          70,        120,           561,              27,            198,      251,        143,       161
  36,           385,             350,            368,       230,          72,        156,           595,              31,            224,      260,        152,       199
  37,           414,             378,            301,       228,          75,        223,           630,              32,            243,      269,        160,       194
  38,           437,             400,            318,       295,          74,        166,           666,              32,            256,      283,        160,       200
  39,           457,             419,            405,       286,          83,        251,           703,              32,            438,      295,        173,       329
  40,           482,             443,            586,       271,          84,        536,           741,              35,            380,      300,        177,       267
  41,           513,             473,            393,       270,          83,        178,           780,              37,            320,      306,        181,       236
  42,           535,             494,            421,       288,          83,        177,           820,              37,            461,      320,        190,       249
  43,           573,             531,            531,       290,          85,        148,           861,              36,            272,      335,        199,       226
  44,           580,             537,            481,       321,          94,        153,           903,              39,            280,      335,        195,       193
  45,           618,             574,            388,       324,          95,        328,           946,              39,            551,      349,        200,       739
  46,           622,             577,            716,       313,          88,        187,           990,              40,            471,      360,        209,       299
  47,           656,             610,            523,       333,          94,        192,          1035,              41,            388,      376,        216,       266
  48,           692,             645,            587,       326,         101,        196,          1081,              44,            408,      391,        225,       278
  49,           720,             672,            573,       338,          93,        196,          1128,              43,            425,      404,        234,       287
  50,           735,             686,            629,       347,          99,        324,          1176,              40,            816,      413,        242,       609
