  n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, selection_cmp, selection_swaps, selection_time, heap_cmp, heap_swaps, heap_time
  0,             0,               0,              1,         0,           0,          2,             0,               0,              1,        0,          0,         4
  1,             0,               0,              1,         0,           0,          1,             0,               0,              0,        0,          0,         3
  2,             1,               1,              8,         1,           2,         13,             0,               0,              1,        1,          1,         5
  3,             2,               1,              2,         3,           4,         13,             1,               1,              2,        3,          3,         7
  4,             4,               2,              3,         7,           4,         11,             3,               1,              3,        6,          6,        10
  5,             5,               2,              3,        11,           7,         19,             6,               2,              5,       11,         10,        14
  6,            10,               6,              7,        16,           9,         20,            10,               2,              7,       15,         12,        16
  7,            13,               8,              9,        24,          12,         24,            15,               4,             10,       19,         14,        20
  8,            20,              15,             15,        22,          13,         26,            21,               4,             13,       27,         19,        25
  9,            26,              20,             19,        28,          15,         28,            28,               5,             18,       33,         20,        31
 10,            34,              27,             25,        37,          16,         34,            36,               6,             19,       37,         23,        32
 11,            40,              32,             29,        41,          16,         34,            45,               7,             24,       46,         28,        40
 12,            44,              35,             32,        47,          23,         44,            55,               8,             33,       51,         33,        46
 13,            55,              45,             39,        55,          21,         44,            66,               9,             33,       56,         35,        50
 14,            59,              48,             42,        62,          24,         48,            78,               9,             37,       61,         38,        51
 15,            67,              55,             47,        71,          28,         53,            91,              10,             43,       68,         43,        55
 16,            70,              57,             49,        76,          30,         58,           105,              11,             63,       80,         53,        65
 17,            83,              69,             58,        71,          29,         54,           120,              13,             53,       90,         55,        71
 18,            92,              77,             67,        80,          30,         57,           136,              11,             58,       99,         61,        76
 19,            95,              79,             65,        94,          34,         72,           153,              11,             64,      106,         65,        81
 20,           114,              98,             80,       113,          33,         90,           171,              11,             72,      116,         72,        91
 21,           133,             116,             98,        98,          37,         74,           190,              16,             81,      124,         74,       103
 22,           154,             136,            117,       105,          40,        101,           210,              16,             95,      127,         76,       103
 23,           168,             149,            128,       117,          44,         81,           231,              18,             92,      137,         81,       167
 24,           182,             162,            125,       143,          40,         83,           253,              21,            100,      145,         88,       120
 25,           198,             177,            132,       134,          50,         87,           276,              22,            105,      154,         93,       111
 26,           211,             189,            141,       143,          52,         91,           300,              21,            113,      164,        101,       114
 27,           235,             212,            157,       162,          55,         98,           325,              23,            128,      170,        102,       117
 28,           241,             217,            162,       159,          58,        100,           351,              24,            131,      179,        107,       122
